Class,Shape
Asymmetric_Neck_Tops,Inverted triangle
Bust_Pockets_Shirts_Tops,Pear
Cap_Sleeves_Tops,"Apple,Pear"
Cowl_neck_Tops,Pear
Crop_Tops,Pear
Cuff_Sleeves_Tops,Apple
Dolman_Sleeves_Tops,Inverted triangle
Drop_Shoulder_Sleeves_Tops,Inverted triangle
Fitted_Tops,Inverted triangle
"Flare,Bell_sleeves_tops",Apple
Flutter_sleeves_tops,Pear
Halter_Necklines_Tops,Inverted triangle
Kimono_sleeves_tops,Inverted triangle
Off-shoulder_Tops,Pear
One_shoulder_Tops,Inverted triangle
Peplum_Tops,Inverted triangle
Puff_sleeves,Pear
Raglan_sleeves_tops,Inverted triangle
Ruffle_Shirts_Tops,Pear
Sabrina_neck_Tops,Pear
Scoop_Neck_Top,"Apple,Inverted triangle"
Slit_sleeve_stops,Apple
Square_Neck_Tops,"Apple,Pear "
Strapless_Tops,Apple
Striped_Tops,Pear
Sweet_heart_Tops,Apple
Tunic_Shirts_Tops,Apple
U-neck_Tops,Inverted triangle
V-Neck_Tops,"Apple,Inverted triangle"
Wide_Straps_Tops,Inverted triangle
Wrap_Tops,"Apple,Inverted triangle"
other,
