Class,Shape
Asymmetric Neck Tops,Inverted triangle
Batwing Sleeves Tops,Pear
Bell Sleeves Tops,Pear
Bust Pockets Shirts Tops,Pear
Cap Sleeves Tops,"Apple,Pear"
Cowl neck Tops,Pear
Crop Tops,Pear
Cuff Sleeves Tops,Apple
Dolman Sleeves Tops,Inverted triangle
Drape Sleeves Tops,Apple
Drop Shoulder Sleeves Tops,Inverted triangle
Fitted Tops,Inverted triangle
Flare Sleeves Tops,Apple
Flutter Sleeves Tops,Pear
Halter Necklines Tops,Inverted triangle
Kimono Sleeves Tops,Inverted triangle
Off-shoulder Tops,Pear
One shoulder Tops,Inverted triangle
Peplum Tops,Inverted triangle
Puff sleeves,Pear
Raglan Sleeves Tops,Inverted triangle
Ruffle Shirts Tops,Pear
Sabrina neck Tops,Pear
Scoop Neck Top,"Apple,Inverted triangle"
Slit Sleeves Tops,Apple
Square Neck Tops,"Apple,Pear "
Strapless Tops,Apple
Striped Tops,Pear
Sweet-heart Tops,Apple
Swing Shirts Tops,Apple
Tunic Shirts Tops,Apple
U-neck Tops,Inverted triangle
V-Neck Tops,"Apple,Inverted triangle"
Wide Straps Tops,Inverted triangle
Wrap Tops,"Apple,Inverted triangle"
